['Malma Island Daily', 'air_temp_2', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 3.481]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 3.052]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 4.267]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 4.226]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 4.841]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 2.819]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 4.005]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 5.713]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 5.952]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 5.033]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 0.927]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), -2.479]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), -4.982]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), -4.932]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), -5.172]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), -5.358]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), -7.04]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), -7.61]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), -4.192]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), -3.721]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), -2.838]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), -3.658]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), -5.856]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), -6.345]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), -5.055]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), -4.057]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), -2.804]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), -1.816]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), -1.35]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), -3.961]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), -3.029]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), -3.862]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 0.266]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 1.521]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 1.719]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 0.851]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.881]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.842]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 2.013]
['Malma Island Daily', 'air_temp_2', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 2.943]
