['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 125.0]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 46.77]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 70.6]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 146.7]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 111.6]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 22.33]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 56.6]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 49.89]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 99.7]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 63.71]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 361.8]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 77.8]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 269.6]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 106.5]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 6.004]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 18.52]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 13.07]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 44.13]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 23.66]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 34.33]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 78.8]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 30.05]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 18.55]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 6.307]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 8.12]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 41.14]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 83.7]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 296.6]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 207.5]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 170.4]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 181.3]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 73.0]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 72.9]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 43.05]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 38.49]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 40.22]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 9.83]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 6.572]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 116.1]
['Malma Island Daily', 'cubic_wind_speed', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 113.3]
