['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 0.681]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 1.075]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 0.121]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 0.144]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 0.125]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 0.42]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 0.394]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 0.209]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 0.639]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 0.273]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 0.569]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 0.8]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 0.635]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 1.357]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 0.881]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 1.29]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 1.037]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 1.287]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 0.51]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 0.889]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 0.829]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 0.967]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 1.384]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 1.135]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 1.137]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 1.371]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 2.029]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 1.962]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 1.423]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 1.528]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 0.555]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 0.621]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 0.661]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 0.933]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 1.16]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 0.56]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.923]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.619]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 1.301]
['Malma Island Daily', 'cumulative_glob_rad', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 0.939]
