['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 0.402]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 3.015]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 2.01]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 0.201]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 2.01]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 2.01]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 4.02]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 13.87]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 0.402]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 1.206]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 10.25]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 1.005]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 0.201]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.0]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 4.422]
['Malma Island Daily', 'cumulative_rainfall', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 0.402]
