['Malma Island Daily', 'day_length', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 5.444]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 5.511]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 2.622]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 3.173]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 2.939]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 5.06]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 3.975]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 4.793]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 5.394]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 4.492]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 5.494]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 5.361]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 5.661]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 5.828]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 5.845]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 6.045]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 5.845]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 6.179]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 5.043]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 5.812]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 6.379]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 6.379]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 6.513]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 6.48]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 6.864]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 6.964]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 6.947]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 7.06]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 7.15]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 7.03]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 6.964]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 6.012]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 6.53]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 7.28]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 7.21]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 7.1]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 6.663]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 6.914]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 7.7]
['Malma Island Daily', 'day_length', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 7.65]
