['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 32.85]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 52.75]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 12.21]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 11.26]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 11.42]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 22.43]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 23.82]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 11.4]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 31.73]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 15.21]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 27.98]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 40.09]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 29.69]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 63.03]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 40.89]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 56.77]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 47.78]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 57.29]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 27.91]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 41.17]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 35.08]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 41.45]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 57.48]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 47.1]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 45.01]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 53.77]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 79.2]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 75.5]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 54.41]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 58.77]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 21.92]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 27.31]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 27.3]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 34.9]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 42.16]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 21.23]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 37.37]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 24.11]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 46.35]
['Malma Island Daily', 'light_period_glob_rad', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 32.94]
