['Malma Island Daily', 'light_period_par', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 38.29]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 60.16]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 6.83]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 7.2]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 6.654]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 11.27]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 10.37]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 5.788]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 14.49]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 8.05]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 16.66]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 48.26]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 41.62]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 75.9]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 49.99]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 70.7]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 46.9]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 46.73]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 12.22]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 11.12]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 10.12]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 15.38]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 29.34]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 26.53]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 37.44]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 63.43]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 88.6]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 101.0]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 72.4]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 78.7]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 33.4]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 36.14]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 22.05]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 20.15]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 22.13]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 15.33]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 42.5]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 28.27]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 35.05]
['Malma Island Daily', 'light_period_par', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 23.63]
