['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 4.607]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 2.908]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 3.755]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 4.872]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 3.477]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 1.704]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 2.595]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 2.877]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 4.06]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 1.516]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 5.748]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 3.567]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 5.935]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 3.71]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 1.119]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 2.352]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 1.719]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 2.604]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 2.497]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 2.739]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 3.768]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 2.637]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 2.141]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 1.063]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 1.308]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 2.85]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 3.485]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 6.252]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 5.504]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 5.187]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 5.19]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 3.387]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 3.55]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 2.924]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 2.816]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 2.733]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 1.667]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.951]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 3.575]
['Malma Island Daily', 'magnitude_of_wind_vect', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 3.724]
