['Malma Island Daily', 'max_air_temp', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 4.611]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 4.81]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 8.44]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 5.215]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 5.685]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 5.57]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 5.367]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 7.57]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 6.819]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 6.141]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 13.01]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), -0.172]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), -2.522]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), -2.452]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), -3.753]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), -3.882]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), -2.79]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), -3.932]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), -2.871]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), -2.632]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), -2.338]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), -2.931]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), -4.521]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), -4.096]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), -4.087]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), -3.115]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), -0.87]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), -0.13]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 0.063]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), -3.27]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), -2.402]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), -2.407]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 1.26]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 19.59]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 2.898]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 2.639]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 2.117]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 2.275]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 9.76]
['Malma Island Daily', 'max_air_temp', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 4.335]
