['Malma Island Daily', 'max_glob_rad', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 100.6]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 101.1]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 21.0]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 23.07]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 21.88]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 36.67]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 120.4]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 18.93]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 94.0]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 30.16]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 52.64]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 90.5]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 121.9]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 202.3]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 71.9]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 227.2]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 127.2]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 145.5]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 110.6]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 74.5]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 62.11]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 69.8]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 190.2]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 97.0]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 81.0]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 95.2]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 230.4]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 167.4]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 98.2]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 140.8]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 43.19]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 50.87]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 44.96]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 89.3]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 100.8]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 44.66]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 73.3]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 47.91]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 109.1]
['Malma Island Daily', 'max_glob_rad', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 92.3]
