['Malma Island Daily', 'max_par', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 326.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 330.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 157.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 190.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 176.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 303.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 238.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 287.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 323.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 269.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 329.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 321.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 339.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 349.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 350.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 362.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 350.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 370.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 302.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 348.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 382.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 382.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 390.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 388.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 411.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 417.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 416.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 423.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 428.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 421.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 417.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 360.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 391.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 436.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 432.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 425.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 399.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 414.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 461.0]
['Malma Island Daily', 'max_par', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 458.0]
