['Malma Island Daily', 'mean_air_temp', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 3.56]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 3.251]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 4.416]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 4.292]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 4.994]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 3.084]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 4.204]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 6.005]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 6.185]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 5.3]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 0.802]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), -2.342]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), -4.934]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), -4.812]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), -5.001]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), -5.248]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), -6.824]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), -7.31]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), -3.99]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), -3.608]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), -2.801]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), -3.592]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), -5.727]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), -6.134]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), -4.885]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), -3.965]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), -2.754]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), -1.914]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), -1.406]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), -3.882]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), -2.91]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), -3.649]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 0.162]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 1.727]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 2.13]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 1.122]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 1.261]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 1.248]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 2.238]
['Malma Island Daily', 'mean_air_temp', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 3.198]
