['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 1.86]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 1.803]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 1.848]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 1.883]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 1.961]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 1.958]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 2.017]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 2.075]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 2.14]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 2.182]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 2.142]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 1.906]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 1.49]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 0.949]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 0.786]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 0.778]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 0.723]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 0.66]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 0.512]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 0.467]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 0.442]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 0.444]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 0.45]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 0.418]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 0.398]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 0.388]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 0.436]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 0.475]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 0.462]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 0.493]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 0.499]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 0.497]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 0.476]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 0.488]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 0.525]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 0.571]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.595]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.619]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 0.65]
['Malma Island Daily', 'mean_water_temp_1_m', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 0.715]
