['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 206.2]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 184.7]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 165.0]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 162.7]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 196.0]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 159.9]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 162.1]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 212.6]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 235.2]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 244.4]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 0.385]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 330.2]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 321.5]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 335.1]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 52.99]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 50.89]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 70.7]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 65.41]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 84.2]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 113.0]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 131.3]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 78.8]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 43.56]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 93.8]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 128.0]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 194.7]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 153.9]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 118.7]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 122.1]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 119.3]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 139.9]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 143.5]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 158.6]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 173.5]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 225.9]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 151.6]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 155.8]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 143.8]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 157.9]
['Malma Island Daily', 'mean_wind_dir', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 207.4]
