['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 4.747]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 3.197]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 3.861]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 4.997]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 4.472]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 2.44]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 3.283]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 3.218]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 4.312]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 3.371]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 6.713]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 4.036]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 6.22]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 4.173]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 1.38]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 2.48]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 1.918]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 2.865]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 2.594]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 2.927]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 3.96]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 2.872]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 2.346]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 1.545]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 1.702]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 3.019]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 3.931]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 6.443]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 5.711]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 5.351]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 5.447]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 3.641]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 3.665]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 3.092]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 3.078]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 3.036]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 1.84]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 1.655]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 3.724]
['Malma Island Daily', 'mean_wind_speed', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 4.457]
