['Malma Island Daily', 'min_air_temp', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 2.122]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 2.261]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 3.641]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 2.693]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 3.913]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 0.838]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 3.006]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 4.716]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 5.341]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 3.809]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), -10.46]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), -3.655]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), -7.06]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), -6.998]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), -6.859]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), -6.899]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), -14.33]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), -15.47]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), -6.408]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), -4.266]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), -3.448]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), -4.78]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), -7.34]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), -9.46]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), -6.944]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), -5.355]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), -3.698]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), -3.308]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), -3.665]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), -4.753]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), -3.694]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), -4.41]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), -2.513]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), -9.84]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 1.383]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), -0.837]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 0.559]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 0.574]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), -0.674]
['Malma Island Daily', 'min_air_temp', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 1.352]
