['Malma Island Daily', 'water_level', datetime.datetime(2013, 12, 31, 23, 0, tzinfo=<UTC>), 9.6885]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 1, 23, 0, tzinfo=<UTC>), 9.6885]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 2, 23, 0, tzinfo=<UTC>), 9.6885]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 3, 23, 0, tzinfo=<UTC>), 9.6933]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 4, 23, 0, tzinfo=<UTC>), 9.7028]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 5, 23, 0, tzinfo=<UTC>), 9.7082]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 6, 23, 0, tzinfo=<UTC>), 9.7104]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 7, 23, 0, tzinfo=<UTC>), 9.7143]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 8, 23, 0, tzinfo=<UTC>), 9.7181]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 9, 23, 0, tzinfo=<UTC>), 9.7222]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 10, 23, 0, tzinfo=<UTC>), 9.8133]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 11, 23, 0, tzinfo=<UTC>), 9.7669]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 12, 23, 0, tzinfo=<UTC>), 9.7646]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 13, 23, 0, tzinfo=<UTC>), 9.7647]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 14, 23, 0, tzinfo=<UTC>), 9.7647]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 15, 23, 0, tzinfo=<UTC>), 9.7647]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 16, 23, 0, tzinfo=<UTC>), 9.7647]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 17, 23, 0, tzinfo=<UTC>), 9.7661]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 18, 23, 0, tzinfo=<UTC>), 9.772]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 19, 23, 0, tzinfo=<UTC>), 9.7756]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 20, 23, 0, tzinfo=<UTC>), 9.7768]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 21, 23, 0, tzinfo=<UTC>), 9.7771]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 22, 23, 0, tzinfo=<UTC>), 9.7774]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 23, 23, 0, tzinfo=<UTC>), 9.7778]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 24, 23, 0, tzinfo=<UTC>), 9.7778]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 25, 23, 0, tzinfo=<UTC>), 9.7781]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 26, 23, 0, tzinfo=<UTC>), 9.7782]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 27, 23, 0, tzinfo=<UTC>), 9.7781]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 28, 23, 0, tzinfo=<UTC>), 9.7781]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 29, 23, 0, tzinfo=<UTC>), 9.7782]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 30, 23, 0, tzinfo=<UTC>), 9.7781]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 1, 31, 23, 0, tzinfo=<UTC>), 9.7781]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 1, 23, 0, tzinfo=<UTC>), 9.7782]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 2, 23, 0, tzinfo=<UTC>), 9.7836]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 3, 23, 0, tzinfo=<UTC>), 9.7923]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 4, 23, 0, tzinfo=<UTC>), 9.7949]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 5, 23, 0, tzinfo=<UTC>), 9.7899]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 6, 23, 0, tzinfo=<UTC>), 9.7861]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 7, 23, 0, tzinfo=<UTC>), 9.7963]
['Malma Island Daily', 'water_level', datetime.datetime(2014, 2, 8, 23, 0, tzinfo=<UTC>), 9.8128]
